                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8087,                 1.9492,                 1.4614,                0.71404,                0.31228,                 0.3143,                0.17485,                 1.6308,                 1.1843,                 1.3182,              0.0001222,              0.0001222,              0.0001222
                      2,                 1.5462,                 1.1992,                 1.2997,                0.76239,                0.31745,                0.37466,                0.21078,                 1.6143,                 1.1424,                 1.3297,              0.0002431,              0.0002431,              0.0002431
                      3,                 1.5251,                 1.1266,                 1.2981,                0.67158,                0.45244,                0.47184,                0.27551,                  1.552,                 1.0874,                  1.301,             0.00036156,             0.00036156,             0.00036156
                      4,                 1.4645,                 1.0473,                 1.2555,                0.72882,                 0.4566,                0.53237,                0.29316,                 1.5016,                0.99237,                  1.276,             0.00035901,             0.00035901,             0.00035901
                      5,                 1.4346,                0.99442,                 1.2372,                 0.6974,                0.45936,                0.51981,                0.30774,                 1.4717,                0.95558,                 1.2639,             0.00035535,             0.00035535,             0.00035535
                      6,                 1.3978,                0.96173,                 1.2241,                0.66736,                0.50138,                0.55947,                0.32867,                 1.4315,                0.94261,                 1.2576,             0.00035169,             0.00035169,             0.00035169
                      7,                 1.3966,                0.94294,                 1.2244,                0.81243,                0.46877,                0.54628,                0.33051,                 1.4374,                0.90049,                 1.2426,             0.00034802,             0.00034802,             0.00034802
                      8,                 1.3433,                0.89314,                  1.198,                0.77663,                0.58074,                0.64144,                0.38809,                 1.3951,                0.85923,                  1.219,             0.00034436,             0.00034436,             0.00034436
                      9,                 1.3088,                0.86973,                 1.1905,                0.77224,                0.54177,                0.58637,                0.36185,                 1.3908,                0.85656,                 1.2321,              0.0003407,              0.0003407,              0.0003407
                     10,                 1.2947,                 0.8507,                 1.1814,                0.84689,                0.49474,                0.58245,                 0.3617,                 1.3693,                0.83741,                 1.2134,             0.00033703,             0.00033703,             0.00033703
                     11,                 1.2656,                0.82648,                 1.1679,                0.84161,                0.52602,                 0.6182,                0.37608,                 1.3569,                0.84713,                 1.2174,             0.00033337,             0.00033337,             0.00033337
                     12,                 1.2528,                0.81297,                 1.1601,                0.67798,                0.58763,                0.63508,                0.39933,                 1.3259,                0.79603,                 1.1971,             0.00032971,             0.00032971,             0.00032971
                     13,                   1.24,                0.79753,                 1.1448,                0.82648,                0.55297,                0.62672,                0.39107,                 1.3264,                0.81929,                 1.1875,             0.00032604,             0.00032604,             0.00032604
                     14,                 1.2215,                0.78528,                 1.1419,                0.77129,                0.59664,                0.66438,                0.41627,                 1.3105,                0.78696,                 1.1867,             0.00032238,             0.00032238,             0.00032238
                     15,                  1.201,                 0.7677,                 1.1287,                0.72096,                0.60157,                0.65802,                0.41361,                 1.3081,                0.78412,                 1.1878,             0.00031872,             0.00031872,             0.00031872
                     16,                 1.2002,                 0.7643,                 1.1303,                0.73822,                0.60751,                0.67667,                0.41072,                 1.2915,                0.77799,                  1.174,             0.00031506,             0.00031506,             0.00031506
                     17,                 1.1673,                0.74181,                 1.1158,                0.75818,                0.54921,                0.64636,                0.41031,                 1.2837,                0.75915,                 1.1656,             0.00031139,             0.00031139,             0.00031139
                     18,                 1.1602,                 0.7345,                 1.1051,                0.82914,                0.55155,                0.66132,                0.42231,                 1.2706,                0.74574,                 1.1625,             0.00030773,             0.00030773,             0.00030773
                     19,                 1.1385,                0.71743,                 1.1079,                0.75105,                0.62236,                0.68541,                0.42695,                 1.2598,                0.73585,                 1.1606,             0.00030407,             0.00030407,             0.00030407
