                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.1387,                0.70936,                 1.0951,                0.73702,                0.61761,                0.67078,                0.41434,                 1.2621,                0.73755,                 1.1689,              0.0003004,              0.0003004,              0.0003004
                     21,                  1.119,                 0.6992,                 1.0954,                0.74043,                0.60274,                0.68047,                0.43112,                  1.247,                0.73827,                 1.1519,             0.00029674,             0.00029674,             0.00029674
                     22,                 1.1232,                0.69673,                 1.0899,                 0.7771,                0.60325,                0.68111,                 0.4399,                 1.2393,                0.71533,                 1.1535,             0.00029308,             0.00029308,             0.00029308
                     23,                 1.1045,                 0.6789,                 1.0866,                0.83515,                 0.5926,                0.66087,                0.42152,                 1.2634,                0.72225,                 1.1738,             0.00028941,             0.00028941,             0.00028941
                     24,                 1.0879,                0.67165,                 1.0753,                0.81563,                0.58846,                0.68275,                0.43053,                 1.2304,                0.70694,                 1.1597,             0.00028575,             0.00028575,             0.00028575
                     25,                 1.0818,                0.67045,                 1.0778,                0.87051,                0.56838,                0.68367,                0.43975,                 1.2229,                0.69405,                  1.145,             0.00028209,             0.00028209,             0.00028209
                     26,                 1.0563,                0.64729,                 1.0592,                0.78705,                0.59708,                 0.6675,                0.43092,                 1.2073,                0.69365,                 1.1491,             0.00027842,             0.00027842,             0.00027842
                     27,                 1.0572,                0.64913,                  1.064,                  0.855,                0.63425,                0.70367,                0.44914,                 1.2052,                0.68626,                 1.1392,             0.00027476,             0.00027476,             0.00027476
                     28,                 1.0407,                0.63825,                 1.0514,                0.87382,                  0.618,                0.71463,                0.45282,                 1.2059,                0.68337,                 1.1373,              0.0002711,              0.0002711,              0.0002711
                     29,                 1.0237,                0.62795,                 1.0419,                0.78787,                0.67094,                0.72169,                0.44871,                 1.2193,                0.68307,                 1.1411,             0.00026744,             0.00026744,             0.00026744
                     30,                 1.0193,                  0.621,                 1.0443,                0.88038,                0.60842,                0.70657,                0.46786,                 1.1861,                0.66109,                   1.13,             0.00026377,             0.00026377,             0.00026377
                     31,                 1.0132,                0.61279,                 1.0423,                 0.8394,                0.62257,                0.69994,                0.46071,                 1.1742,                 0.6702,                 1.1307,             0.00026011,             0.00026011,             0.00026011
                     32,                 1.0067,                0.60963,                 1.0395,                0.86183,                0.61507,                0.68771,                0.45643,                 1.1776,                0.66812,                 1.1259,             0.00025645,             0.00025645,             0.00025645
                     33,                  1.001,                0.60548,                 1.0343,                0.80618,                0.63321,                 0.7173,                0.48384,                 1.1605,                0.65887,                 1.1248,             0.00025278,             0.00025278,             0.00025278
                     34,                0.98667,                0.60055,                 1.0255,                 0.8163,                0.66538,                0.73534,                0.47229,                 1.2003,                0.66618,                 1.1454,             0.00024912,             0.00024912,             0.00024912
                     35,                0.97181,                0.59048,                 1.0257,                0.82554,                0.62109,                0.70492,                0.47343,                 1.1574,                0.65223,                 1.1251,             0.00024546,             0.00024546,             0.00024546
                     36,                0.95616,                0.57786,                 1.0188,                0.77253,                 0.6594,                0.71743,                0.48157,                 1.1583,                0.65167,                  1.124,             0.00024179,             0.00024179,             0.00024179
                     37,                0.95679,                0.57931,                 1.0197,                0.78182,                 0.6201,                0.70781,                0.45823,                 1.1828,                0.66188,                 1.1375,             0.00023813,             0.00023813,             0.00023813
                     38,                0.96012,                0.57619,                 1.0137,                0.83036,                0.63315,                0.70045,                0.46837,                 1.1648,                 0.6435,                 1.1286,             0.00023447,             0.00023447,             0.00023447
                     39,                0.93551,                0.56337,                 1.0057,                0.88083,                0.65011,                0.72891,                0.48047,                 1.1717,                0.65017,                  1.134,             0.00023081,             0.00023081,             0.00023081
                     40,                 0.9323,                0.56049,                 1.0068,                0.88852,                0.61927,                0.73052,                0.49485,                 1.1415,                0.63651,                 1.1286,             0.00022714,             0.00022714,             0.00022714
                     41,                0.92651,                0.56108,                 1.0056,                 0.7444,                0.70083,                0.74078,                0.48002,                 1.1469,                0.63583,                 1.1332,             0.00022348,             0.00022348,             0.00022348
                     42,                0.91543,                0.55308,                 0.9971,                0.78575,                0.66954,                0.72699,                0.47431,                 1.1543,                0.64811,                 1.1249,             0.00021982,             0.00021982,             0.00021982
                     43,                0.91796,                0.54632,                0.99598,                0.87228,                0.65928,                0.73836,                0.48952,                 1.1405,                0.64202,                 1.1225,             0.00021615,             0.00021615,             0.00021615
                     44,                0.89963,                0.54345,                0.99281,                0.85423,                0.63164,                0.72759,                0.49068,                 1.1478,                0.64701,                  1.128,             0.00021249,             0.00021249,             0.00021249
                     45,                0.89561,                0.54258,                0.98906,                0.81284,                0.63705,                0.72694,                0.48773,                 1.1337,                0.63107,                 1.1261,             0.00020883,             0.00020883,             0.00020883
                     46,                0.88121,                0.52932,                0.98625,                0.88184,                0.63342,                0.74363,                0.48944,                 1.1395,                0.62946,                 1.1262,             0.00020516,             0.00020516,             0.00020516
                     47,                0.88044,                0.53177,                0.98958,                0.77178,                0.66437,                0.74465,                0.48943,                 1.1371,                0.64384,                 1.1299,              0.0002015,              0.0002015,              0.0002015
                     48,                0.88375,                0.52694,                0.98237,                0.87218,                  0.651,                0.73711,                0.49043,                 1.1315,                 0.6269,                 1.1253,             0.00019784,             0.00019784,             0.00019784
                     49,                0.87248,                0.52428,                0.97842,                0.90826,                0.64625,                0.76669,                0.49668,                 1.1313,                0.63459,                 1.1245,             0.00019418,             0.00019418,             0.00019418
                     50,                0.87042,                0.52383,                0.97768,                0.82159,                0.65496,                0.74166,                0.48783,                 1.1174,                0.62243,                 1.1231,             0.00019051,             0.00019051,             0.00019051
                     51,                0.86315,                0.51377,                0.97501,                0.85195,                0.62856,                 0.7353,                 0.5008,                 1.1213,                0.62601,                 1.1256,             0.00018685,             0.00018685,             0.00018685
                     52,                0.84171,                0.50648,                0.96926,                0.81209,                0.67494,                0.76343,                0.50941,                  1.127,                0.62449,                 1.1313,             0.00018319,             0.00018319,             0.00018319
                     53,                0.84787,                0.50584,                0.97166,                0.80942,                0.67765,                0.75711,                0.50346,                 1.1114,                0.61301,                 1.1267,             0.00017952,             0.00017952,             0.00017952
                     54,                 0.8381,                0.50058,                0.96722,                 0.7897,                0.65395,                0.72907,                0.49679,                 1.1154,                0.61875,                 1.1269,             0.00017586,             0.00017586,             0.00017586
                     55,                0.84185,                0.49476,                 0.9641,                0.74586,                0.69659,                 0.7494,                0.50076,                 1.1206,                0.61172,                 1.1392,              0.0001722,              0.0001722,              0.0001722
                     56,                0.83032,                0.49998,                0.96023,                 0.8503,                0.63974,                0.71766,                0.48748,                 1.1173,                0.60794,                 1.1271,             0.00016853,             0.00016853,             0.00016853
                     57,                0.81478,                 0.4887,                0.95344,                0.85402,                0.65849,                0.77018,                0.50222,                 1.1124,                0.61199,                 1.1186,             0.00016487,             0.00016487,             0.00016487
                     58,                0.82073,                0.48938,                0.95475,                0.75999,                0.67863,                0.74368,                0.50787,                 1.1086,                0.60954,                 1.1244,             0.00016121,             0.00016121,             0.00016121
                     59,                0.80464,                0.47717,                0.95012,                0.85897,                0.66033,                0.75553,                0.50482,                 1.1102,                0.60624,                 1.1234,             0.00015755,             0.00015755,             0.00015755
                     60,                0.80202,                0.47751,                0.95395,                0.85984,                0.64928,                0.74796,                0.50051,                  1.107,                0.61413,                 1.1185,             0.00015388,             0.00015388,             0.00015388
                     61,                0.79296,                0.47492,                 0.9464,                0.81592,                0.70296,                0.75919,                0.51032,                 1.0996,                0.60606,                 1.1183,             0.00015022,             0.00015022,             0.00015022
                     62,                0.79543,                0.47251,                0.94691,                0.88073,                0.62597,                0.75558,                0.51512,                 1.1023,                0.59979,                 1.1219,             0.00014656,             0.00014656,             0.00014656
                     63,                0.78057,                0.46334,                0.93875,                0.85276,                 0.6859,                0.76351,                0.51854,                 1.0938,                 0.5959,                 1.1159,             0.00014289,             0.00014289,             0.00014289
                     64,                0.78699,                 0.4681,                0.94403,                0.85817,                0.69817,                0.77878,                0.50587,                 1.0996,                0.59994,                  1.122,             0.00013923,             0.00013923,             0.00013923
                     65,                0.77389,                0.46044,                0.93875,                0.84125,                0.72819,                0.79413,                0.51725,                 1.0861,                0.60242,                 1.1088,             0.00013557,             0.00013557,             0.00013557
                     66,                 0.7705,                0.45966,                0.93695,                0.87477,                0.66639,                0.77294,                0.52421,                 1.0893,                 0.5914,                 1.1211,             0.00013191,             0.00013191,             0.00013191
                     67,                 0.7569,                0.45036,                0.93789,                0.88868,                0.66209,                0.75831,                0.51104,                 1.1003,                0.59825,                 1.1274,             0.00012824,             0.00012824,             0.00012824
                     68,                0.76042,                0.45498,                0.93266,                0.85098,                0.70325,                0.77693,                0.52884,                 1.0901,                0.59679,                 1.1207,             0.00012458,             0.00012458,             0.00012458
                     69,                0.74655,                0.44427,                0.93089,                0.88436,                0.69891,                0.77495,                0.51063,                 1.0869,                 0.5869,                 1.1188,             0.00012092,             0.00012092,             0.00012092
                     70,                0.75085,                 0.4477,                0.93191,                 0.8964,                0.67562,                0.77839,                 0.5271,                 1.0775,                0.59079,                 1.1186,             0.00011725,             0.00011725,             0.00011725
                     71,                0.74508,                0.44072,                0.92561,                0.86312,                0.71033,                0.77609,                0.51514,                 1.0831,                0.58569,                 1.1232,             0.00011359,             0.00011359,             0.00011359
                     72,                0.73926,                0.44571,                0.92741,                0.82623,                 0.7173,                0.76201,                0.51071,                 1.0781,                0.58969,                 1.1187,             0.00010993,             0.00010993,             0.00010993
                     73,                0.72301,                0.43346,                0.91871,                0.83232,                0.70154,                0.77355,                0.52905,                 1.0757,                0.58693,                 1.1182,             0.00010626,             0.00010626,             0.00010626
                     74,                0.72997,                0.43579,                0.92174,                0.81878,                0.72794,                0.78193,                0.52593,                 1.0806,                0.59051,                 1.1154,              0.0001026,              0.0001026,              0.0001026
                     75,                0.72022,                0.43081,                0.92077,                0.90763,                0.66808,                0.76649,                0.52023,                  1.078,                0.58065,                 1.1177,             9.8938e-05,             9.8938e-05,             9.8938e-05
                     76,                0.72356,                0.43304,                0.92046,                0.88999,                0.67044,                0.77639,                0.52002,                 1.0839,                0.58177,                 1.1223,             9.5275e-05,             9.5275e-05,             9.5275e-05
                     77,                0.71028,                0.42304,                0.91552,                   0.85,                0.71772,                0.77994,                0.52885,                 1.0687,                0.58101,                 1.1169,             9.1612e-05,             9.1612e-05,             9.1612e-05
                     78,                0.70164,                0.41915,                0.91593,                0.88656,                0.69591,                 0.7755,                 0.5304,                 1.0746,                0.57926,                  1.117,             8.7949e-05,             8.7949e-05,             8.7949e-05
                     79,                0.69549,                0.41964,                0.91194,                0.84685,                0.69632,                0.74612,                 0.5081,                 1.0775,                 0.5846,                 1.1175,             8.4286e-05,             8.4286e-05,             8.4286e-05
                     80,                0.69146,                0.41794,                0.90569,                0.86491,                0.69143,                0.76929,                0.52429,                 1.0755,                0.58303,                 1.1158,             8.0623e-05,             8.0623e-05,             8.0623e-05
                     81,                0.68962,                0.41567,                0.91141,                0.85706,                0.70055,                0.76461,                0.53086,                  1.071,                0.57983,                  1.117,              7.696e-05,              7.696e-05,              7.696e-05
                     82,                0.68079,                0.40969,                0.90442,                 0.8049,                0.70848,                0.76762,                0.51957,                 1.0544,                0.57504,                 1.1108,             7.3297e-05,             7.3297e-05,             7.3297e-05
                     83,                0.67922,                0.40773,                0.90597,                0.88783,                0.69487,                0.77778,                0.53073,                 1.0561,                0.57768,                 1.1183,             6.9634e-05,             6.9634e-05,             6.9634e-05
                     84,                0.67255,                0.40456,                0.89937,                0.87633,                0.69496,                0.77078,                0.53387,                  1.062,                0.57432,                 1.1238,             6.5971e-05,             6.5971e-05,             6.5971e-05
                     85,                0.67872,                0.40905,                0.90397,                0.86238,                0.69876,                0.76741,                0.53707,                 1.0622,                0.57519,                 1.1194,             6.2308e-05,             6.2308e-05,             6.2308e-05
                     86,                0.67215,                0.40528,                0.90715,                0.85271,                0.71219,                0.76993,                0.53062,                 1.0576,                0.57318,                 1.1145,             5.8645e-05,             5.8645e-05,             5.8645e-05
                     87,                0.66571,                0.39791,                0.89757,                0.83145,                0.69691,                 0.7522,                0.52332,                 1.0564,                0.57341,                 1.1159,             5.4982e-05,             5.4982e-05,             5.4982e-05
                     88,                0.65849,                0.39621,                0.89712,                0.80824,                0.71685,                0.75879,                0.52755,                 1.0551,                0.57034,                 1.1179,             5.1319e-05,             5.1319e-05,             5.1319e-05
                     89,                0.65626,                0.39685,                0.89693,                0.86433,                0.70969,                0.78789,                0.53187,                 1.0504,                0.57245,                 1.1121,             4.7656e-05,             4.7656e-05,             4.7656e-05
                     90,                0.64849,                0.39214,                0.89259,                 0.8699,                0.68786,                0.77368,                0.53821,                 1.0427,                0.56814,                  1.111,             4.3993e-05,             4.3993e-05,             4.3993e-05
                     91,                0.65907,                0.38265,                0.89221,                0.87255,                0.67097,                0.76371,                0.52994,                 1.0592,                0.57963,                 1.1258,              4.033e-05,              4.033e-05,              4.033e-05
                     92,                0.63627,                0.37058,                0.88632,                0.85356,                0.68477,                0.76172,                0.52024,                 1.0633,                0.58201,                 1.1253,             3.6667e-05,             3.6667e-05,             3.6667e-05
                     93,                0.62742,                0.36904,                0.88115,                0.88134,                0.68667,                0.76915,                0.52252,                 1.0622,                0.58237,                 1.1262,             3.3004e-05,             3.3004e-05,             3.3004e-05
                     94,                0.61319,                0.36209,                0.87742,                0.85986,                0.69328,                0.77882,                0.53162,                 1.0548,                0.57585,                 1.1226,             2.9341e-05,             2.9341e-05,             2.9341e-05
                     95,                0.60846,                0.35932,                0.87405,                0.83243,                0.71374,                 0.7812,                0.53678,                 1.0493,                0.57926,                 1.1179,             2.5678e-05,             2.5678e-05,             2.5678e-05
                     96,                0.60897,                 0.3591,                0.87562,                0.84718,                0.70296,                0.78071,                0.53249,                 1.0426,                0.57527,                 1.1182,             2.2015e-05,             2.2015e-05,             2.2015e-05
                     97,                0.60133,                0.35606,                0.87428,                0.87032,                0.68881,                0.78286,                0.53353,                 1.0439,                0.57679,                 1.1195,             1.8352e-05,             1.8352e-05,             1.8352e-05
                     98,                0.59697,                0.35378,                0.87175,                0.87673,                0.68993,                0.77817,                0.53389,                  1.043,                0.57602,                 1.1199,             1.4689e-05,             1.4689e-05,             1.4689e-05
                     99,                0.59164,                0.35349,                 0.8723,                0.87533,                0.68999,                0.77634,                0.53267,                 1.0426,                0.57636,                 1.1212,             1.1026e-05,             1.1026e-05,             1.1026e-05
                    100,                0.59257,                0.35425,                0.87121,                0.88723,                0.68897,                0.78006,                0.53546,                 1.0429,                0.57595,                 1.1213,              7.363e-06,              7.363e-06,              7.363e-06
